# SHIELDEVAL RAW v3
# SAMPLE=N01_single_braid_tube1000
# FIXTURE=TUBE1000
# LC=1.0
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 80.27 -6.3
1.023293e+05 80.41 -5.5
1.047129e+05 80.36 -7.0
1.071519e+05 80.50 -7.1
1.096478e+05 80.30 -5.8
1.122018e+05 80.79 -8.2
1.148154e+05 80.23 -8.8
1.174898e+05 80.57 -6.9
1.202264e+05 80.48 -10.4
1.230269e+05 80.77 -6.5
1.258925e+05 80.83 -10.0
1.288250e+05 80.61 -9.3
1.318257e+05 80.36 -10.3
1.348963e+05 80.53 -7.0
1.380384e+05 80.43 -7.1
1.412538e+05 80.63 -8.9
1.445440e+05 80.57 -8.8
1.479108e+05 80.68 -7.7
1.513561e+05 80.85 -9.9
1.548817e+05 80.60 -11.9
1.584893e+05 80.70 -11.8
1.621810e+05 80.48 -11.2
1.659587e+05 80.60 -14.5
1.698244e+05 80.69 -11.7
1.737801e+05 80.58 -11.9
1.778279e+05 80.56 -10.9
1.819701e+05 80.77 -12.1
1.862087e+05 80.85 -10.4
1.905461e+05 80.73 -13.3
1.949845e+05 80.61 -12.3
1.995262e+05 81.07 -12.2
2.041738e+05 81.08 -14.0
2.089296e+05 80.31 -12.5
2.137962e+05 80.85 -16.4
2.187762e+05 80.93 -14.1
2.238721e+05 81.40 -15.8
2.290868e+05 81.15 -13.6
2.344229e+05 81.06 -15.5
2.398833e+05 81.21 -15.4
2.454709e+05 81.29 -13.7
2.511886e+05 81.10 -18.0
2.570396e+05 81.13 -16.2
2.630268e+05 80.96 -18.2
2.691535e+05 81.51 -18.5
2.754229e+05 81.58 -18.5
2.818383e+05 81.19 -19.0
2.884032e+05 81.43 -17.2
2.951209e+05 81.60 -20.3
3.019952e+05 81.80 -20.4
3.090295e+05 81.76 -19.9
3.162278e+05 81.63 -20.2
3.235937e+05 81.60 -19.6
3.311311e+05 81.49 -21.4
3.388442e+05 81.77 -19.2
3.467369e+05 82.18 -21.7
3.548134e+05 81.65 -20.4
3.630781e+05 81.95 -21.7
3.715352e+05 82.16 -23.4
3.801894e+05 82.29 -23.6
3.890451e+05 82.17 -22.8
3.981072e+05 82.65 -23.1
4.073803e+05 82.68 -24.3
4.168694e+05 82.57 -26.1
4.265795e+05 82.46 -24.5
4.365158e+05 83.08 -29.5
4.466836e+05 82.78 -26.1
4.570882e+05 83.60 -30.1
4.677351e+05 83.47 -29.3
4.786301e+05 83.35 -29.0
4.897788e+05 83.18 -30.2
5.011872e+05 83.97 -32.3
5.128614e+05 83.60 -30.1
5.248075e+05 83.77 -29.8
5.370318e+05 84.43 -31.7
5.495409e+05 84.48 -33.2
5.623413e+05 84.59 -34.4
5.754399e+05 85.66 -33.9
5.888437e+05 84.22 -33.4
6.025596e+05 85.63 -29.7
6.165950e+05 86.33 -34.6
6.309573e+05 85.80 -34.5
6.456542e+05 85.98 -36.6
6.606934e+05 86.55 -37.8
6.760830e+05 86.67 -38.8
6.918310e+05 87.20 -34.0
7.079458e+05 88.03 -38.1
7.244360e+05 88.28 -42.5
7.413102e+05 87.83 -36.5
7.585776e+05 88.85 -39.5
7.762471e+05 89.58 -43.1
7.943282e+05 89.52 -36.2
8.128305e+05 91.78 -50.0
8.317638e+05 92.64 -42.2
8.511380e+05 92.11 -38.7
8.709636e+05 92.59 -44.9
8.912509e+05 94.26 -39.1
9.120108e+05 97.18 -34.6
9.332543e+05 97.88 -42.6
9.549926e+05 99.04 -45.0
9.772372e+05 100.00 -48.7
1.000000e+06 101.58 -29.7
1.023293e+06 103.91 3.4
1.047129e+06 107.26 28.7
1.071519e+06 107.75 6.8
1.096478e+06 101.25 120.2
1.122018e+06 103.60 111.0
