# SHIELDEVAL RAW v3
# SAMPLE=N02_optimised_lineinj
# FIXTURE=LINEINJ
# LC=0.4
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 95.48 -18.4
1.023293e+05 99.20 -7.4
1.047129e+05 96.16 -15.6
1.071519e+05 94.38 -4.0
1.096478e+05 98.62 -4.6
1.122018e+05 95.47 -13.6
1.148154e+05 97.19 -7.8
1.174898e+05 94.42 -12.6
1.202264e+05 97.09 -1.0
1.230269e+05 96.70 -21.6
1.258925e+05 94.41 -10.2
1.288250e+05 94.31 -22.1
1.318257e+05 96.34 -21.9
1.348963e+05 99.32 -16.1
1.380384e+05 98.82 -14.2
1.412538e+05 95.83 -11.1
1.445440e+05 95.92 6.6
1.479108e+05 98.54 -12.9
1.513561e+05 94.44 -21.9
1.548817e+05 95.62 -15.7
1.584893e+05 97.19 -12.4
1.621810e+05 96.04 -24.6
1.659587e+05 95.47 -26.7
1.698244e+05 97.47 -8.5
1.737801e+05 95.50 -16.3
1.778279e+05 95.40 -34.0
1.819701e+05 96.37 -22.1
1.862087e+05 95.32 -15.7
1.905461e+05 95.90 -16.6
1.949845e+05 98.47 -24.0
1.995262e+05 96.42 -19.5
2.041738e+05 97.24 -31.3
2.089296e+05 95.95 -24.6
2.137962e+05 95.96 -19.1
2.187762e+05 97.83 -32.3
2.238721e+05 95.60 -13.6
2.290868e+05 94.03 -25.4
2.344229e+05 95.91 -23.6
2.398833e+05 98.03 -27.6
2.454709e+05 96.70 -24.9
2.511886e+05 96.09 -24.9
2.570396e+05 95.59 -28.8
2.630268e+05 95.44 -30.1
2.691535e+05 96.07 -42.2
2.754229e+05 96.53 -36.0
2.818383e+05 95.79 -24.5
2.884032e+05 93.87 -12.6
2.951209e+05 95.32 -37.8
3.019952e+05 95.27 -42.2
3.090295e+05 96.78 -13.1
3.162278e+05 94.00 -34.4
3.235937e+05 97.24 -23.0
3.311311e+05 100.53 -45.8
3.388442e+05 97.78 -31.7
3.467369e+05 96.80 -43.7
3.548134e+05 97.69 -43.4
3.630781e+05 98.28 -45.2
3.715352e+05 96.49 -51.3
3.801894e+05 94.71 -21.2
3.890451e+05 94.24 -48.4
3.981072e+05 95.85 -44.1
4.073803e+05 96.57 -57.7
4.168694e+05 96.73 -48.1
4.265795e+05 96.81 -38.4
4.365158e+05 95.90 -51.9
4.466836e+05 97.22 -45.3
4.570882e+05 93.97 -47.0
4.677351e+05 96.51 -30.7
4.786301e+05 95.80 -48.7
4.897788e+05 99.24 -58.8
5.011872e+05 96.59 -51.3
5.128614e+05 97.45 -62.3
5.248075e+05 97.71 -58.0
5.370318e+05 96.90 -56.4
5.495409e+05 97.23 -50.2
5.623413e+05 97.73 -39.3
5.754399e+05 96.05 -82.3
5.888437e+05 94.62 -61.5
6.025596e+05 98.43 -62.0
6.165950e+05 94.89 -68.4
6.309573e+05 99.65 -65.3
6.456542e+05 96.82 -47.5
6.606934e+05 98.43 -60.7
6.760830e+05 97.69 -54.9
6.918310e+05 96.97 -75.9
7.079458e+05 96.56 -60.5
7.244360e+05 96.47 -69.8
7.413102e+05 99.07 -76.8
7.585776e+05 101.84 -62.8
7.762471e+05 97.91 -79.0
7.943282e+05 96.91 -83.3
8.128305e+05 96.93 -63.7
8.317638e+05 94.53 -79.2
8.511380e+05 97.17 -83.2
8.709636e+05 98.99 -96.8
8.912509e+05 97.13 -72.2
9.120108e+05 97.81 -83.4
9.332543e+05 98.91 -87.2
9.549926e+05 98.65 -94.3
9.772372e+05 97.67 -71.5
1.000000e+06 97.19 -77.0
1.023293e+06 99.40 -93.8
1.047129e+06 96.41 -95.1
1.071519e+06 97.16 -95.7
1.096478e+06 98.57 -95.2
1.122018e+06 98.59 -95.2
1.148154e+06 98.84 -113.3
1.174898e+06 95.89 -101.1
1.202264e+06 96.38 -96.8
1.230269e+06 98.24 -88.2
1.258925e+06 96.05 -93.5
1.288250e+06 99.15 -101.1
1.318257e+06 98.23 -111.8
1.348963e+06 99.16 -100.7
1.380384e+06 97.07 -95.1
1.412538e+06 98.31 -95.3
1.445440e+06 97.70 -92.1
1.479108e+06 95.98 -105.8
1.513561e+06 96.78 -110.8
1.548817e+06 99.96 -98.6
1.584893e+06 97.73 -113.3
1.621810e+06 97.62 -102.5
1.659587e+06 98.10 -109.9
1.698244e+06 98.89 -133.8
1.737801e+06 97.90 -110.8
1.778279e+06 98.38 -115.3
1.819701e+06 98.94 -119.5
1.862087e+06 95.86 -111.4
1.905461e+06 96.67 -122.5
1.949845e+06 97.47 -118.0
1.995262e+06 98.93 -123.2
2.041738e+06 98.81 -104.4
2.089296e+06 98.28 -117.8
2.137962e+06 97.14 -109.2
2.187762e+06 97.57 -95.6
2.238721e+06 98.41 -141.3
2.290868e+06 99.77 -105.0
2.344229e+06 101.34 -121.9
2.398833e+06 97.37 -115.6
2.454709e+06 98.05 -128.0
2.511886e+06 101.16 -105.9
2.570396e+06 98.69 -110.1
2.630268e+06 98.69 -118.1
2.691535e+06 96.34 -117.7
2.754229e+06 96.41 -98.0
2.818383e+06 97.89 -93.6
2.884032e+06 96.17 -113.9
2.951209e+06 96.85 -107.2
3.019952e+06 99.10 -106.9
3.090295e+06 98.68 -99.4
3.162278e+06 100.00 -117.8
3.235937e+06 101.46 -83.2
3.311311e+06 99.96 -111.3
3.388442e+06 98.86 -111.5
3.467369e+06 97.61 -113.1
3.548134e+06 98.61 -119.4
3.630781e+06 96.48 -95.7
3.715352e+06 96.84 -101.5
3.801894e+06 99.01 -114.8
3.890451e+06 96.97 -111.0
3.981072e+06 99.12 -92.7
4.073803e+06 98.20 -90.1
4.168694e+06 97.66 -94.9
4.265795e+06 98.19 -99.7
4.365158e+06 96.66 -104.4
4.466836e+06 95.79 -89.9
4.570882e+06 96.04 -87.4
4.677351e+06 97.14 -96.8
4.786301e+06 94.71 -98.1
4.897788e+06 97.62 -82.3
5.011872e+06 95.34 -102.6
5.128614e+06 95.74 -93.4
5.248075e+06 95.93 -80.0
5.370318e+06 96.10 -96.2
5.495409e+06 93.67 -96.6
5.623413e+06 93.98 -110.3
5.754399e+06 93.11 -100.6
5.888437e+06 94.10 -97.0
6.025596e+06 94.06 -83.9
6.165950e+06 93.50 -103.7
6.309573e+06 93.14 -82.5
6.456542e+06 92.65 -95.6
6.606934e+06 92.64 -97.4
6.760830e+06 91.05 -93.2
6.918310e+06 92.16 -103.1
7.079458e+06 92.27 -94.1
7.244360e+06 92.44 -88.3
7.413102e+06 91.97 -107.5
7.585776e+06 91.31 -101.5
7.762471e+06 91.21 -103.6
7.943282e+06 91.12 -97.1
