# SHIELDEVAL RAW v3
# SAMPLE=N03_connector
# FIXTURE=CONN
# LC=0.05
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 68.26 -5.6
1.023293e+05 68.40 -6.1
1.047129e+05 68.31 -6.4
1.071519e+05 68.48 -6.2
1.096478e+05 68.39 -6.8
1.122018e+05 68.37 -7.1
1.148154e+05 68.53 -7.6
1.174898e+05 68.46 -7.2
1.202264e+05 68.42 -7.4
1.230269e+05 68.33 -7.9
1.258925e+05 68.49 -7.9
1.288250e+05 68.44 -7.8
1.318257e+05 68.52 -8.5
1.348963e+05 68.46 -7.7
1.380384e+05 68.38 -8.8
1.412538e+05 68.44 -8.9
1.445440e+05 68.62 -9.0
1.479108e+05 68.63 -8.4
1.513561e+05 68.65 -9.4
1.548817e+05 68.60 -9.9
1.584893e+05 68.65 -10.6
1.621810e+05 68.49 -10.2
1.659587e+05 68.60 -10.6
1.698244e+05 68.52 -10.1
1.737801e+05 68.65 -11.0
1.778279e+05 68.65 -11.3
1.819701e+05 68.70 -11.3
1.862087e+05 68.70 -11.4
1.905461e+05 68.69 -12.4
1.949845e+05 68.73 -12.3
1.995262e+05 68.81 -12.4
2.041738e+05 68.88 -12.3
2.089296e+05 68.84 -12.3
2.137962e+05 68.82 -12.8
2.187762e+05 68.85 -13.4
2.238721e+05 68.96 -14.2
2.290868e+05 68.90 -13.6
2.344229e+05 68.98 -15.0
2.398833e+05 69.10 -14.9
2.454709e+05 69.05 -14.8
2.511886e+05 69.16 -15.7
2.570396e+05 69.03 -16.0
2.630268e+05 69.15 -16.1
2.691535e+05 69.24 -16.8
2.754229e+05 69.26 -17.3
2.818383e+05 69.29 -17.3
2.884032e+05 69.36 -17.9
2.951209e+05 69.49 -17.0
3.019952e+05 69.33 -18.4
3.090295e+05 69.55 -18.3
3.162278e+05 69.57 -19.8
3.235937e+05 69.77 -19.3
3.311311e+05 69.67 -19.7
3.388442e+05 69.73 -20.5
3.467369e+05 69.77 -21.2
3.548134e+05 69.94 -21.7
3.630781e+05 69.85 -22.3
3.715352e+05 70.14 -22.2
3.801894e+05 70.18 -23.4
3.890451e+05 70.29 -22.5
3.981072e+05 70.39 -23.1
4.073803e+05 70.42 -23.6
4.168694e+05 70.40 -23.9
4.265795e+05 70.65 -24.8
4.365158e+05 70.62 -26.0
4.466836e+05 70.84 -26.0
4.570882e+05 71.07 -26.6
4.677351e+05 71.27 -27.3
4.786301e+05 71.36 -27.1
4.897788e+05 71.57 -28.0
5.011872e+05 71.68 -28.8
5.128614e+05 71.79 -29.0
5.248075e+05 72.05 -29.3
5.370318e+05 72.09 -30.1
5.495409e+05 72.49 -31.6
