# SHIELDEVAL RAW v3
# SAMPLE=S01_single_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 86.99 -3.6
1.023293e+05 86.34 -7.0
1.047129e+05 86.02 -12.2
1.071519e+05 86.32 -2.0
1.096478e+05 86.86 -8.8
1.122018e+05 86.12 -3.4
1.148154e+05 86.18 -9.1
1.174898e+05 86.21 -8.3
1.202264e+05 86.23 -7.0
1.230269e+05 86.09 -7.4
1.258925e+05 85.73 -2.3
1.288250e+05 86.67 -13.1
1.318257e+05 86.51 -9.7
1.348963e+05 85.90 -7.1
1.380384e+05 87.18 -8.0
1.412538e+05 86.47 -8.6
1.445440e+05 86.91 -8.8
1.479108e+05 86.69 -6.5
1.513561e+05 86.40 -10.8
1.548817e+05 87.43 -12.4
1.584893e+05 87.07 -10.8
1.621810e+05 87.33 -8.9
1.659587e+05 86.66 -14.5
1.698244e+05 87.12 -5.6
1.737801e+05 86.10 -11.1
1.778279e+05 86.94 -13.3
1.819701e+05 86.06 -11.4
1.862087e+05 86.85 -15.0
1.905461e+05 86.61 -14.4
1.949845e+05 86.78 -13.1
1.995262e+05 86.89 -11.2
2.041738e+05 87.44 -11.4
2.089296e+05 86.73 -14.0
2.137962e+05 86.74 -14.0
2.187762e+05 86.90 -12.3
2.238721e+05 86.51 -18.7
2.290868e+05 87.35 -15.5
2.344229e+05 87.29 -11.9
2.398833e+05 87.54 -10.6
2.454709e+05 87.85 -17.4
2.511886e+05 86.83 -19.2
2.570396e+05 87.39 -18.3
2.630268e+05 87.42 -12.9
2.691535e+05 86.54 -9.7
2.754229e+05 87.20 -17.4
2.818383e+05 87.10 -21.6
2.884032e+05 86.99 -16.5
2.951209e+05 87.04 -15.0
3.019952e+05 86.87 -14.6
3.090295e+05 87.87 -18.5
3.162278e+05 87.15 -10.9
3.235937e+05 87.76 -20.1
3.311311e+05 88.74 -12.3
3.388442e+05 88.05 -25.2
3.467369e+05 87.64 -15.8
3.548134e+05 87.82 -17.5
3.630781e+05 87.63 -18.3
3.715352e+05 88.41 -26.3
3.801894e+05 88.37 -24.0
3.890451e+05 88.61 -29.0
3.981072e+05 89.40 -27.0
4.073803e+05 88.60 -23.7
4.168694e+05 88.01 -21.2
4.265795e+05 87.96 -27.6
4.365158e+05 89.05 -29.8
4.466836e+05 87.92 -31.2
4.570882e+05 89.42 -28.0
4.677351e+05 88.82 -30.5
4.786301e+05 89.23 -23.4
4.897788e+05 89.59 -31.5
5.011872e+05 90.33 -29.4
5.128614e+05 89.42 -30.0
5.248075e+05 90.13 -31.0
5.370318e+05 90.46 -33.1
5.495409e+05 89.70 -34.4
5.623413e+05 91.06 -29.5
5.754399e+05 90.33 -35.1
5.888437e+05 92.21 -30.6
6.025596e+05 89.96 -40.7
6.165950e+05 91.95 -39.5
6.309573e+05 92.51 -32.7
6.456542e+05 93.94 -38.4
6.606934e+05 90.91 -40.4
6.760830e+05 92.88 -35.8
6.918310e+05 92.97 -35.1
7.079458e+05 95.07 -44.2
7.244360e+05 93.67 -39.9
7.413102e+05 94.23 -44.9
7.585776e+05 94.09 -33.8
7.762471e+05 97.50 -45.7
7.943282e+05 96.48 -32.1
8.128305e+05 95.64 -36.0
8.317638e+05 97.72 -55.2
8.511380e+05 98.86 -34.4
8.709636e+05 98.48 -60.7
8.912509e+05 99.20 -47.2
9.120108e+05 99.96 -44.3
9.332543e+05 100.26 -28.7
9.549926e+05 104.41 -32.9
9.772372e+05 110.77 38.6
1.000000e+06 107.46 -2.0
1.023293e+06 111.40 38.6
1.047129e+06 108.67 -3.2
1.071519e+06 119.64 -149.9
1.096478e+06 109.09 41.2
1.122018e+06 109.49 102.8
1.148154e+06 99.57 97.3
1.174898e+06 99.61 92.0
1.202264e+06 98.84 113.2
1.230269e+06 99.08 117.5
1.258925e+06 100.60 112.1
1.288250e+06 97.37 113.8
1.318257e+06 96.79 113.5
1.348963e+06 95.73 116.7
1.380384e+06 93.79 112.0
1.412538e+06 92.29 103.2
1.445440e+06 91.60 97.8
1.479108e+06 91.86 116.7
1.513561e+06 91.75 102.0
1.548817e+06 90.86 105.1
1.584893e+06 91.01 103.9
1.621810e+06 89.12 105.4
1.659587e+06 88.92 108.9
