# SHIELDEVAL RAW v3
# SAMPLE=S02_optimised_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 88.78 -8.5
1.023293e+05 89.21 -16.6
1.047129e+05 87.87 -14.9
1.071519e+05 87.90 -12.5
1.096478e+05 88.52 -10.2
1.122018e+05 87.89 -17.8
1.148154e+05 87.54 -9.9
1.174898e+05 87.82 -11.3
1.202264e+05 87.80 -16.8
1.230269e+05 87.82 -16.9
1.258925e+05 88.70 -15.6
1.288250e+05 88.01 -7.7
1.318257e+05 89.10 -17.3
1.348963e+05 88.60 -11.9
1.380384e+05 88.64 -12.9
1.412538e+05 88.88 -23.1
1.445440e+05 88.36 -16.4
1.479108e+05 87.65 -12.3
1.513561e+05 88.39 -19.0
1.548817e+05 89.10 -14.5
1.584893e+05 88.17 -21.3
1.621810e+05 87.67 -21.8
1.659587e+05 88.15 -19.9
1.698244e+05 88.42 -17.0
1.737801e+05 88.93 -22.6
1.778279e+05 88.23 -16.6
1.819701e+05 87.81 -24.5
1.862087e+05 87.61 -21.1
1.905461e+05 87.84 -15.6
1.949845e+05 87.52 -28.1
1.995262e+05 89.20 -23.6
2.041738e+05 88.81 -27.8
2.089296e+05 88.69 -27.3
2.137962e+05 88.14 -24.5
2.187762e+05 88.36 -30.1
2.238721e+05 87.93 -20.6
2.290868e+05 88.36 -23.5
2.344229e+05 88.44 -21.9
2.398833e+05 88.06 -25.2
2.454709e+05 87.99 -29.5
2.511886e+05 89.19 -28.3
2.570396e+05 87.05 -28.6
2.630268e+05 87.54 -29.5
2.691535e+05 88.14 -21.4
2.754229e+05 89.01 -28.5
2.818383e+05 89.36 -33.4
2.884032e+05 89.51 -30.1
2.951209e+05 88.77 -35.4
3.019952e+05 88.18 -30.1
3.090295e+05 87.82 -34.6
3.162278e+05 87.73 -33.0
3.235937e+05 87.57 -31.5
3.311311e+05 88.63 -31.0
3.388442e+05 88.08 -38.2
3.467369e+05 88.93 -35.7
3.548134e+05 88.58 -39.4
3.630781e+05 88.28 -46.5
3.715352e+05 87.64 -43.9
3.801894e+05 88.12 -42.2
3.890451e+05 89.02 -40.2
3.981072e+05 88.89 -44.3
4.073803e+05 88.95 -38.0
4.168694e+05 88.09 -41.4
4.265795e+05 89.01 -41.9
4.365158e+05 88.52 -45.3
4.466836e+05 88.37 -51.0
4.570882e+05 88.92 -47.5
4.677351e+05 88.37 -52.0
4.786301e+05 88.09 -54.2
4.897788e+05 88.46 -54.8
5.011872e+05 88.32 -52.3
5.128614e+05 88.30 -49.7
5.248075e+05 89.30 -55.7
5.370318e+05 88.46 -50.7
5.495409e+05 89.75 -53.6
5.623413e+05 87.90 -62.2
5.754399e+05 89.14 -66.2
5.888437e+05 90.74 -63.7
6.025596e+05 88.39 -59.6
6.165950e+05 88.38 -67.6
6.309573e+05 88.22 -62.3
6.456542e+05 88.30 -65.9
6.606934e+05 88.50 -65.8
6.760830e+05 89.35 -59.9
6.918310e+05 88.17 -70.2
7.079458e+05 88.94 -81.4
7.244360e+05 89.95 -75.3
7.413102e+05 88.87 -68.2
7.585776e+05 88.72 -66.0
7.762471e+05 88.77 -74.9
7.943282e+05 89.59 -77.2
8.128305e+05 88.60 -82.2
8.317638e+05 89.48 -75.1
8.511380e+05 89.26 -85.6
8.709636e+05 89.07 -85.0
8.912509e+05 88.81 -81.4
9.120108e+05 89.68 -82.0
9.332543e+05 89.38 -84.9
9.549926e+05 88.92 -81.6
9.772372e+05 89.32 -91.1
1.000000e+06 88.70 -92.0
1.023293e+06 90.07 -90.5
1.047129e+06 90.17 -89.8
1.071519e+06 90.05 -92.7
1.096478e+06 89.55 -84.8
1.122018e+06 89.72 -96.1
1.148154e+06 88.76 -92.1
1.174898e+06 89.28 -97.9
1.202264e+06 89.45 -95.7
1.230269e+06 89.50 -99.7
1.258925e+06 89.99 -101.1
1.288250e+06 89.56 -93.8
1.318257e+06 89.29 -102.0
1.348963e+06 90.72 -96.0
1.380384e+06 89.55 -105.8
1.412538e+06 89.45 -105.4
1.445440e+06 88.94 -99.5
1.479108e+06 88.77 -113.2
1.513561e+06 89.57 -112.9
1.548817e+06 90.26 -108.1
1.584893e+06 89.21 -104.9
1.621810e+06 90.30 -107.2
1.659587e+06 90.37 -112.0
1.698244e+06 89.67 -115.5
1.737801e+06 90.58 -108.3
1.778279e+06 91.42 -112.7
1.819701e+06 89.75 -115.8
1.862087e+06 89.57 -110.4
1.905461e+06 90.75 -105.7
1.949845e+06 90.14 -112.3
1.995262e+06 90.30 -119.1
2.041738e+06 91.03 -118.1
2.089296e+06 91.22 -118.5
2.137962e+06 91.13 -114.6
2.187762e+06 92.09 -114.5
2.238721e+06 90.84 -120.2
2.290868e+06 91.38 -120.7
2.344229e+06 91.52 -112.0
2.398833e+06 91.43 -113.0
2.454709e+06 91.09 -108.8
2.511886e+06 90.60 -121.2
2.570396e+06 90.46 -117.8
2.630268e+06 91.18 -109.9
2.691535e+06 90.85 -118.5
2.754229e+06 91.97 -114.9
2.818383e+06 90.91 -113.4
2.884032e+06 91.23 -117.5
2.951209e+06 90.55 -104.5
3.019952e+06 90.80 -111.5
3.090295e+06 91.61 -116.0
3.162278e+06 91.04 -112.0
3.235937e+06 89.75 -106.7
3.311311e+06 90.28 -115.7
3.388442e+06 90.26 -111.8
3.467369e+06 89.53 -111.3
3.548134e+06 88.96 -112.8
3.630781e+06 89.82 -101.8
3.715352e+06 89.66 -99.3
3.801894e+06 90.56 -101.1
3.890451e+06 89.77 -112.2
3.981072e+06 90.05 -103.1
4.073803e+06 90.16 -101.8
4.168694e+06 88.06 -103.2
4.265795e+06 89.00 -99.4
4.365158e+06 88.89 -106.3
4.466836e+06 88.19 -104.7
4.570882e+06 88.05 -103.5
4.677351e+06 87.78 -102.7
4.786301e+06 87.99 -103.9
4.897788e+06 87.84 -97.3
5.011872e+06 88.03 -104.3
5.128614e+06 87.48 -101.6
5.248075e+06 87.16 -101.8
5.370318e+06 86.99 -93.4
5.495409e+06 86.28 -101.7
5.623413e+06 86.52 -98.4
5.754399e+06 86.64 -95.0
5.888437e+06 86.07 -102.9
6.025596e+06 85.31 -101.3
6.165950e+06 84.98 -100.0
6.309573e+06 85.45 -103.4
6.456542e+06 85.21 -97.3
6.606934e+06 84.92 -101.5
6.760830e+06 84.41 -97.9
6.918310e+06 84.68 -99.8
7.079458e+06 84.42 -101.2
7.244360e+06 83.95 -99.2
7.413102e+06 83.91 -102.3
7.585776e+06 83.35 -99.4
7.762471e+06 83.23 -104.4
7.943282e+06 82.56 -102.9
8.128305e+06 82.91 -100.4
8.317638e+06 83.20 -107.9
8.511380e+06 82.71 -102.8
8.709636e+06 82.71 -105.1
8.912509e+06 82.21 -105.2
9.120108e+06 81.91 -105.7
9.332543e+06 81.83 -103.0
9.549926e+06 81.32 -107.3
9.772372e+06 81.52 -104.7
1.000000e+07 80.99 -105.1
1.023293e+07 80.90 -107.1
1.047129e+07 81.40 -108.5
1.071519e+07 80.68 -106.6
1.096478e+07 80.21 -108.3
1.122018e+07 80.25 -110.5
1.148154e+07 80.06 -108.5
1.174898e+07 79.67 -110.0
1.202264e+07 79.37 -109.6
1.230269e+07 79.37 -109.9
1.258925e+07 79.18 -109.5
1.288250e+07 79.14 -109.0
1.318257e+07 78.92 -111.3
1.348963e+07 78.71 -112.0
1.380384e+07 78.38 -111.3
1.412538e+07 78.38 -113.0
1.445440e+07 78.05 -115.3
1.479108e+07 77.68 -114.0
1.513561e+07 77.71 -115.9
1.548817e+07 77.59 -114.5
1.584893e+07 77.51 -114.8
1.621810e+07 77.09 -115.6
1.659587e+07 76.92 -117.6
1.698244e+07 76.87 -116.8
1.737801e+07 76.47 -118.4
1.778279e+07 76.57 -118.8
1.819701e+07 76.21 -120.1
1.862087e+07 76.10 -121.2
