# SHIELDEVAL RAW v3
# SAMPLE=S03_braid_foil
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 90.43 -2.4
1.023293e+05 89.37 -9.6
1.047129e+05 90.23 1.0
1.071519e+05 91.53 -8.3
1.096478e+05 91.09 -11.9
1.122018e+05 90.16 -10.3
1.148154e+05 90.75 -10.7
1.174898e+05 90.06 -5.5
1.202264e+05 91.78 -20.0
1.230269e+05 89.42 -10.2
1.258925e+05 89.69 -2.6
1.288250e+05 91.94 -2.8
1.318257e+05 90.88 -13.0
1.348963e+05 91.25 -7.9
1.380384e+05 91.10 -7.6
1.412538e+05 90.17 -8.8
1.445440e+05 91.09 -11.6
1.479108e+05 91.53 -5.6
1.513561e+05 90.32 -9.6
1.548817e+05 89.97 -7.5
1.584893e+05 91.19 -6.1
1.621810e+05 90.49 -13.3
1.659587e+05 91.68 -15.4
1.698244e+05 90.28 -0.0
1.737801e+05 89.29 -12.4
1.778279e+05 90.52 -5.2
1.819701e+05 90.98 -5.4
1.862087e+05 92.34 -12.5
1.905461e+05 91.00 -12.8
1.949845e+05 92.33 -14.1
1.995262e+05 90.23 -14.1
2.041738e+05 89.71 -10.4
2.089296e+05 89.93 -11.9
2.137962e+05 90.66 -14.7
2.187762e+05 90.48 -13.9
2.238721e+05 91.47 -10.1
2.290868e+05 90.73 -13.2
2.344229e+05 90.70 -14.5
2.398833e+05 91.13 -5.6
2.454709e+05 92.92 -18.5
2.511886e+05 90.84 -11.9
2.570396e+05 90.47 -18.3
2.630268e+05 91.23 -21.3
2.691535e+05 90.75 -13.4
2.754229e+05 90.58 -11.4
2.818383e+05 91.52 -33.8
2.884032e+05 90.52 -13.2
2.951209e+05 91.54 -14.8
3.019952e+05 91.87 -19.8
3.090295e+05 91.09 -15.5
3.162278e+05 91.34 -25.0
3.235937e+05 91.52 -18.5
3.311311e+05 91.50 -26.7
3.388442e+05 91.54 -22.7
3.467369e+05 91.89 -25.0
3.548134e+05 91.61 -21.9
3.630781e+05 91.49 -30.0
3.715352e+05 92.23 -24.0
3.801894e+05 90.59 -19.7
3.890451e+05 91.49 -18.5
3.981072e+05 90.79 -25.7
4.073803e+05 90.26 -19.7
4.168694e+05 90.64 -26.5
4.265795e+05 91.42 -23.6
4.365158e+05 91.80 -31.8
4.466836e+05 90.49 -29.5
4.570882e+05 90.85 -28.9
4.677351e+05 91.12 -19.6
4.786301e+05 91.95 -22.8
4.897788e+05 91.70 -30.1
5.011872e+05 92.94 -35.8
5.128614e+05 91.26 -27.9
5.248075e+05 91.82 -42.0
5.370318e+05 92.64 -24.6
5.495409e+05 90.93 -35.3
5.623413e+05 91.09 -38.1
5.754399e+05 91.66 -35.5
5.888437e+05 91.04 -37.6
6.025596e+05 93.08 -40.9
6.165950e+05 92.05 -34.1
6.309573e+05 90.94 -35.3
6.456542e+05 91.25 -34.4
6.606934e+05 92.50 -47.2
6.760830e+05 90.66 -43.1
6.918310e+05 91.17 -44.1
7.079458e+05 93.85 -37.2
7.244360e+05 92.88 -48.9
7.413102e+05 91.27 -50.6
7.585776e+05 90.93 -43.9
7.762471e+05 91.58 -47.0
7.943282e+05 93.41 -48.2
8.128305e+05 92.46 -47.1
8.317638e+05 92.69 -39.2
8.511380e+05 93.86 -42.8
8.709636e+05 93.34 -51.0
8.912509e+05 92.84 -48.2
9.120108e+05 94.95 -60.4
9.332543e+05 92.42 -53.7
9.549926e+05 93.44 -63.5
9.772372e+05 91.97 -61.7
1.000000e+06 93.58 -53.5
1.023293e+06 92.69 -62.3
1.047129e+06 93.96 -63.9
1.071519e+06 95.85 -55.5
1.096478e+06 92.25 -62.2
1.122018e+06 93.75 -73.6
1.148154e+06 93.25 -73.2
1.174898e+06 92.87 -67.9
1.202264e+06 94.35 -61.6
1.230269e+06 92.79 -73.1
1.258925e+06 94.77 -74.4
1.288250e+06 94.28 -68.1
1.318257e+06 95.84 -75.3
1.348963e+06 92.53 -67.1
1.380384e+06 93.33 -71.2
1.412538e+06 95.36 -63.2
1.445440e+06 93.44 -88.5
1.479108e+06 95.59 -86.2
1.513561e+06 96.94 -85.8
1.548817e+06 94.03 -95.0
1.584893e+06 94.66 -91.9
1.621810e+06 97.06 -80.6
1.659587e+06 94.66 -98.6
1.698244e+06 97.50 -96.9
1.737801e+06 98.23 -80.4
1.778279e+06 96.91 -94.7
1.819701e+06 97.00 -94.9
1.862087e+06 97.18 -101.6
1.905461e+06 96.33 -108.0
1.949845e+06 98.65 -112.8
1.995262e+06 99.15 -108.4
2.041738e+06 97.74 -116.8
2.089296e+06 98.85 -114.6
2.137962e+06 96.48 -114.7
2.187762e+06 97.44 -115.4
2.238721e+06 96.82 -99.0
2.290868e+06 98.97 -114.9
2.344229e+06 98.84 -145.9
2.398833e+06 99.91 -135.0
2.454709e+06 101.18 -107.9
2.511886e+06 101.92 -111.6
2.570396e+06 98.29 -145.6
2.630268e+06 102.89 -155.1
2.691535e+06 99.49 -136.2
2.754229e+06 97.27 -174.0
2.818383e+06 102.41 -162.2
2.884032e+06 103.06 -118.6
2.951209e+06 100.23 -174.9
3.019952e+06 101.12 179.8
3.090295e+06 104.17 -162.4
3.162278e+06 100.14 158.1
3.235937e+06 100.70 -170.6
3.311311e+06 102.64 179.7
3.388442e+06 98.81 170.0
3.467369e+06 102.53 154.2
3.548134e+06 99.12 167.9
3.630781e+06 100.71 144.6
3.715352e+06 104.25 155.8
3.801894e+06 103.62 122.0
3.890451e+06 99.93 152.3
3.981072e+06 101.41 138.8
4.073803e+06 102.76 147.6
4.168694e+06 98.13 149.2
4.265795e+06 102.55 150.0
4.365158e+06 103.11 141.1
4.466836e+06 101.00 119.8
4.570882e+06 99.64 94.6
4.677351e+06 101.63 125.8
4.786301e+06 98.70 115.1
4.897788e+06 96.14 107.4
5.011872e+06 98.22 109.9
5.128614e+06 98.14 102.6
5.248075e+06 99.35 89.1
5.370318e+06 100.85 127.7
5.495409e+06 98.99 104.0
5.623413e+06 96.67 122.8
5.754399e+06 98.68 120.6
5.888437e+06 97.51 95.9
6.025596e+06 97.67 118.5
6.165950e+06 96.29 90.9
6.309573e+06 96.99 80.6
6.456542e+06 96.64 98.9
6.606934e+06 96.35 96.0
6.760830e+06 96.98 88.3
6.918310e+06 94.76 91.4
7.079458e+06 98.04 85.6
7.244360e+06 97.49 90.9
7.413102e+06 96.06 76.2
7.585776e+06 95.84 80.1
7.762471e+06 97.69 80.1
7.943282e+06 94.71 97.7
8.128305e+06 96.01 84.9
8.317638e+06 94.81 79.1
8.511380e+06 95.81 71.1
8.709636e+06 95.99 81.2
8.912509e+06 94.66 72.4
9.120108e+06 95.16 68.3
9.332543e+06 95.77 77.9
9.549926e+06 94.21 69.8
9.772372e+06 93.92 75.9
1.000000e+07 95.00 80.1
1.023293e+07 93.96 73.3
1.047129e+07 94.41 61.3
1.071519e+07 93.59 69.6
1.096478e+07 94.74 68.5
1.122018e+07 93.24 66.0
1.148154e+07 94.28 62.7
1.174898e+07 93.26 68.6
1.202264e+07 92.99 80.9
1.230269e+07 93.72 83.7
1.258925e+07 95.12 74.8
1.288250e+07 91.35 62.8
1.318257e+07 93.01 62.0
1.348963e+07 95.11 71.2
1.380384e+07 90.98 66.4
1.412538e+07 93.23 72.2
1.445440e+07 91.62 66.1
1.479108e+07 91.50 61.5
1.513561e+07 90.63 68.7
1.548817e+07 90.42 64.0
1.584893e+07 92.27 55.6
1.621810e+07 91.49 71.7
1.659587e+07 91.84 60.8
1.698244e+07 90.85 60.2
1.737801e+07 91.07 63.5
1.778279e+07 91.14 66.5
1.819701e+07 90.57 52.5
1.862087e+07 89.85 60.4
1.905461e+07 89.83 63.1
1.949845e+07 89.77 63.5
1.995262e+07 88.85 61.8
2.041738e+07 89.27 53.4
2.089296e+07 90.01 56.5
2.137962e+07 89.02 54.7
2.187762e+07 90.11 48.4
2.238721e+07 89.08 54.6
2.290868e+07 89.24 51.0
2.344229e+07 89.00 50.3
2.398833e+07 89.26 51.9
2.454709e+07 89.21 52.6
2.511886e+07 87.76 49.2
2.570396e+07 88.01 42.4
2.630268e+07 87.91 45.1
2.691535e+07 87.84 49.8
2.754229e+07 87.53 46.1
2.818383e+07 87.03 49.5
2.884032e+07 87.55 48.0
2.951209e+07 86.67 49.8
3.019952e+07 86.77 45.7
3.090295e+07 86.81 38.7
3.162278e+07 86.96 42.7
3.235937e+07 85.69 41.0
3.311311e+07 86.59 36.0
3.388442e+07 85.98 34.0
3.467369e+07 86.08 31.4
3.548134e+07 85.83 35.1
3.630781e+07 85.50 36.2
3.715352e+07 85.28 35.2
3.801894e+07 85.42 31.5
3.890451e+07 85.36 27.5
3.981072e+07 84.64 28.4
4.073803e+07 84.95 27.7
4.168694e+07 84.41 27.5
4.265795e+07 84.56 25.9
4.365158e+07 84.70 27.8
4.466836e+07 84.59 22.3
4.570882e+07 84.36 22.2
4.677351e+07 84.21 20.5
4.786301e+07 84.52 19.4
4.897788e+07 83.90 18.9
5.011872e+07 84.50 14.3
5.128614e+07 84.25 13.1
5.248075e+07 83.96 9.5
5.370318e+07 83.86 13.3
5.495409e+07 84.03 13.8
5.623413e+07 84.11 11.7
5.754399e+07 83.74 12.2
5.888437e+07 83.81 7.9
6.025596e+07 82.96 4.0
6.165950e+07 83.77 5.3
6.309573e+07 83.82 3.5
6.456542e+07 82.74 1.6
6.606934e+07 83.78 2.0
6.760830e+07 83.40 -3.4
6.918310e+07 83.04 -4.8
7.079458e+07 83.14 -5.2
7.244360e+07 83.05 -4.6
7.413102e+07 82.62 -9.4
7.585776e+07 82.46 -7.3
7.762471e+07 83.00 -9.5
7.943282e+07 82.84 -14.3
8.128305e+07 82.97 -16.9
8.317638e+07 83.04 -18.0
8.511380e+07 82.86 -22.3
8.709636e+07 82.96 -18.7
8.912509e+07 83.00 -23.5
9.120108e+07 82.90 -23.5
9.332543e+07 82.88 -28.9
9.549926e+07 83.13 -30.4
9.772372e+07 82.90 -32.4
1.000000e+08 83.15 -32.0
1.023293e+08 82.79 -38.5
1.047129e+08 83.16 -37.6
1.071519e+08 82.77 -40.6
1.096478e+08 83.13 -45.4
1.122018e+08 82.40 -47.2
1.148154e+08 83.00 -50.0
1.174898e+08 82.87 -52.3
1.202264e+08 82.88 -52.1
1.230269e+08 82.73 -56.5
1.258925e+08 83.09 -63.9
1.288250e+08 83.21 -62.3
1.318257e+08 82.96 -64.4
1.348963e+08 83.05 -72.1
1.380384e+08 83.19 -74.4
1.412538e+08 83.18 -74.7
1.445440e+08 83.14 -83.6
1.479108e+08 83.08 -82.0
1.513561e+08 83.59 -91.9
1.548817e+08 83.13 -95.0
1.584893e+08 82.55 -98.7
1.621810e+08 83.32 -104.2
1.659587e+08 83.49 -107.4
1.698244e+08 83.32 -113.3
1.737801e+08 83.17 -119.2
1.778279e+08 82.40 -122.1
1.819701e+08 82.22 -131.3
1.862087e+08 82.37 -137.2
1.905461e+08 82.50 -141.8
1.949845e+08 81.74 -150.2
1.995262e+08 81.85 -153.3
2.041738e+08 81.24 -162.1
2.089296e+08 80.69 -169.8
2.137962e+08 80.63 -178.5
2.187762e+08 80.06 172.5
2.238721e+08 79.35 169.7
2.290868e+08 78.72 160.1
2.344229e+08 78.13 153.3
2.398833e+08 77.36 143.6
2.454709e+08 76.56 136.8
2.511886e+08 75.98 127.1
2.570396e+08 75.40 116.9
2.630268e+08 74.64 108.8
2.691535e+08 73.94 98.1
2.754229e+08 73.19 87.2
2.818383e+08 72.46 76.5
2.884032e+08 71.88 65.3
2.951209e+08 71.54 52.8
3.019952e+08 71.34 39.8
3.090295e+08 71.11 27.5
3.162278e+08 71.23 14.4
3.235937e+08 71.34 1.8
3.311311e+08 71.55 -10.0
3.388442e+08 72.00 -22.0
3.467369e+08 72.54 -33.8
3.548134e+08 72.92 -43.5
3.630781e+08 73.48 -53.9
3.715352e+08 74.02 -64.1
3.801894e+08 74.39 -74.7
3.890451e+08 74.95 -84.3
3.981072e+08 75.25 -91.9
4.073803e+08 76.08 -102.7
4.168694e+08 76.24 -114.2
4.265795e+08 76.33 -127.1
4.365158e+08 76.80 -139.0
4.466836e+08 76.96 -150.4
4.570882e+08 76.74 -162.8
4.677351e+08 76.76 -178.1
4.786301e+08 76.53 170.5
4.897788e+08 76.07 155.3
5.011872e+08 75.39 142.2
5.128614e+08 74.52 127.2
5.248075e+08 73.61 112.8
5.370318e+08 72.76 97.4
5.495409e+08 71.71 80.2
5.623413e+08 70.54 62.0
5.754399e+08 69.62 40.8
5.888437e+08 68.99 17.9
6.025596e+08 68.90 -7.2
6.165950e+08 69.31 -31.9
6.309573e+08 70.35 -56.4
6.456542e+08 71.51 -78.3
6.606934e+08 73.02 -99.0
6.760830e+08 74.15 -119.3
6.918310e+08 75.37 -138.8
7.079458e+08 76.38 -158.8
7.244360e+08 76.96 179.7
7.413102e+08 77.26 161.0
7.585776e+08 77.70 137.2
7.762471e+08 77.05 118.8
7.943282e+08 76.50 97.9
8.128305e+08 75.76 76.8
8.317638e+08 74.87 53.9
8.511380e+08 73.56 30.2
8.709636e+08 72.63 2.8
8.912509e+08 72.53 -31.9
9.120108e+08 73.55 -69.1
9.332543e+08 75.98 -105.0
9.549926e+08 79.08 -140.3
9.772372e+08 82.30 -172.8
1.000000e+09 84.56 151.3
