# SHIELDEVAL RAW v3
# SAMPLE=S04_loose_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 81.43 -9.2
1.023293e+05 82.10 -5.4
1.047129e+05 81.63 -7.1
1.071519e+05 82.10 -7.5
1.096478e+05 81.56 -8.6
1.122018e+05 82.19 -10.2
1.148154e+05 82.10 -6.3
1.174898e+05 82.12 -5.7
1.202264e+05 82.43 -10.7
1.230269e+05 81.82 -6.8
1.258925e+05 82.41 -9.5
1.288250e+05 82.42 -8.4
1.318257e+05 82.23 -10.0
1.348963e+05 81.93 -10.6
1.380384e+05 82.31 -12.7
1.412538e+05 81.68 -12.2
1.445440e+05 82.28 -10.5
1.479108e+05 82.39 -11.0
1.513561e+05 82.21 -12.5
1.548817e+05 82.38 -13.6
1.584893e+05 82.72 -12.8
1.621810e+05 82.72 -10.8
1.659587e+05 82.62 -10.0
1.698244e+05 82.33 -9.6
1.737801e+05 82.69 -11.7
1.778279e+05 82.74 -10.7
1.819701e+05 83.43 -15.5
1.862087e+05 83.15 -9.8
1.905461e+05 83.09 -12.6
1.949845e+05 82.65 -13.6
1.995262e+05 82.77 -14.1
2.041738e+05 83.25 -15.3
2.089296e+05 83.29 -13.9
2.137962e+05 83.65 -12.2
2.187762e+05 83.84 -15.7
2.238721e+05 83.87 -12.3
2.290868e+05 84.06 -14.1
2.344229e+05 83.84 -17.4
2.398833e+05 83.92 -16.3
2.454709e+05 84.34 -16.6
2.511886e+05 84.14 -14.9
2.570396e+05 85.20 -11.3
2.630268e+05 85.02 -9.5
2.691535e+05 85.00 -14.0
2.754229e+05 85.92 -15.2
2.818383e+05 85.16 -16.0
2.884032e+05 85.50 -11.5
2.951209e+05 85.20 -15.3
3.019952e+05 86.10 -15.5
3.090295e+05 86.16 -13.4
3.162278e+05 86.47 -10.9
3.235937e+05 87.70 -13.6
3.311311e+05 86.85 -18.9
3.388442e+05 88.30 -11.9
3.467369e+05 87.75 -12.3
3.548134e+05 87.96 -9.0
3.630781e+05 88.61 -4.6
3.715352e+05 90.06 -15.7
3.801894e+05 88.71 -5.3
3.890451e+05 89.79 -1.0
3.981072e+05 89.71 -8.4
4.073803e+05 91.33 6.2
4.168694e+05 91.65 6.1
4.265795e+05 90.42 6.7
4.365158e+05 92.64 6.7
4.466836e+05 93.08 18.6
4.570882e+05 93.27 26.0
4.677351e+05 92.99 20.8
4.786301e+05 95.39 37.2
4.897788e+05 94.51 38.6
5.011872e+05 93.91 54.1
5.128614e+05 91.76 46.4
5.248075e+05 91.77 59.7
5.370318e+05 91.98 68.5
5.495409e+05 91.85 71.9
5.623413e+05 90.95 79.1
5.754399e+05 90.84 83.3
5.888437e+05 88.99 86.0
6.025596e+05 89.26 81.1
6.165950e+05 88.58 91.1
6.309573e+05 87.45 92.8
6.456542e+05 87.68 93.0
6.606934e+05 86.08 91.0
6.760830e+05 85.17 94.6
6.918310e+05 84.78 99.1
7.079458e+05 84.27 97.3
7.244360e+05 83.81 98.0
7.413102e+05 83.37 101.1
7.585776e+05 82.92 100.4
7.762471e+05 82.77 99.0
7.943282e+05 81.90 100.1
8.128305e+05 81.41 96.9
8.317638e+05 80.73 98.7
8.511380e+05 80.76 100.4
8.709636e+05 80.21 99.6
8.912509e+05 79.77 100.6
9.120108e+05 79.55 100.3
9.332543e+05 79.23 98.5
9.549926e+05 78.83 99.2
9.772372e+05 78.40 101.0
1.000000e+06 77.79 99.7
1.023293e+06 77.99 98.1
1.047129e+06 77.54 99.4
1.071519e+06 77.26 98.3
1.096478e+06 76.74 96.6
1.122018e+06 76.38 97.4
1.148154e+06 76.27 97.3
1.174898e+06 75.75 96.9
1.202264e+06 75.70 95.6
1.230269e+06 75.11 96.4
1.258925e+06 74.98 96.5
1.288250e+06 74.64 95.2
1.318257e+06 74.62 93.9
1.348963e+06 74.12 94.4
1.380384e+06 73.94 93.3
1.412538e+06 73.76 93.2
1.445440e+06 73.58 94.4
1.479108e+06 73.13 93.2
1.513561e+06 72.90 93.0
1.548817e+06 72.75 92.6
1.584893e+06 72.41 91.6
1.621810e+06 72.18 91.2
1.659587e+06 71.94 91.2
1.698244e+06 71.87 90.7
1.737801e+06 71.52 91.3
1.778279e+06 71.34 90.3
1.819701e+06 71.18 90.9
1.862087e+06 70.91 90.2
1.905461e+06 70.74 90.3
1.949845e+06 70.42 89.0
1.995262e+06 70.30 89.4
2.041738e+06 70.05 88.6
2.089296e+06 69.82 89.2
2.137962e+06 69.56 88.3
2.187762e+06 69.43 87.8
2.238721e+06 69.33 87.8
2.290868e+06 68.99 87.6
2.344229e+06 68.86 87.4
2.398833e+06 68.61 87.2
2.454709e+06 68.47 87.1
2.511886e+06 68.30 87.0
2.570396e+06 68.15 86.2
2.630268e+06 67.88 86.3
2.691535e+06 67.66 86.1
2.754229e+06 67.53 85.8
2.818383e+06 67.34 86.1
2.884032e+06 67.16 85.9
2.951209e+06 66.94 85.7
3.019952e+06 66.73 84.7
3.090295e+06 66.52 85.1
3.162278e+06 66.37 84.6
3.235937e+06 66.16 85.1
3.311311e+06 66.02 84.6
3.388442e+06 65.75 84.3
3.467369e+06 65.59 84.3
3.548134e+06 65.45 83.7
3.630781e+06 65.24 83.9
3.715352e+06 65.02 83.7
3.801894e+06 64.78 83.3
3.890451e+06 64.63 83.0
3.981072e+06 64.39 83.2
4.073803e+06 64.24 83.2
4.168694e+06 64.08 83.0
4.265795e+06 63.88 82.5
4.365158e+06 63.62 82.8
4.466836e+06 63.50 82.6
4.570882e+06 63.31 82.4
4.677351e+06 63.11 81.9
4.786301e+06 62.93 81.8
4.897788e+06 62.68 81.9
5.011872e+06 62.48 81.7
5.128614e+06 62.34 81.4
5.248075e+06 62.07 81.3
5.370318e+06 61.90 81.2
5.495409e+06 61.73 80.9
5.623413e+06 61.56 80.6
5.754399e+06 61.34 80.5
5.888437e+06 61.15 80.2
6.025596e+06 60.93 80.1
6.165950e+06 60.76 79.9
6.309573e+06 60.53 79.5
6.456542e+06 60.30 79.3
6.606934e+06 60.18 79.3
6.760830e+06 59.97 78.8
6.918310e+06 59.75 78.7
7.079458e+06 59.54 78.5
7.244360e+06 59.41 77.9
7.413102e+06 59.19 77.7
7.585776e+06 59.01 77.4
7.762471e+06 58.79 77.3
7.943282e+06 58.59 76.7
8.128305e+06 58.42 76.6
8.317638e+06 58.21 76.4
8.511380e+06 57.99 75.8
8.709636e+06 57.88 75.7
8.912509e+06 57.65 75.2
9.120108e+06 57.45 75.0
9.332543e+06 57.25 74.7
9.549926e+06 57.05 74.4
9.772372e+06 56.87 74.1
1.000000e+07 56.65 73.7
1.023293e+07 56.48 73.2
1.047129e+07 56.30 72.8
1.071519e+07 56.12 72.6
1.096478e+07 55.93 72.0
1.122018e+07 55.73 71.7
1.148154e+07 55.52 71.2
1.174898e+07 55.36 70.8
1.202264e+07 55.15 70.4
1.230269e+07 54.98 69.8
1.258925e+07 54.78 69.6
1.288250e+07 54.59 68.8
1.318257e+07 54.38 68.3
1.348963e+07 54.22 67.9
1.380384e+07 54.03 67.5
1.412538e+07 53.86 67.0
1.445440e+07 53.68 66.4
1.479108e+07 53.49 65.9
1.513561e+07 53.32 65.4
1.548817e+07 53.14 64.9
1.584893e+07 52.93 64.2
1.621810e+07 52.75 63.7
1.659587e+07 52.59 63.2
1.698244e+07 52.40 62.5
1.737801e+07 52.24 61.9
1.778279e+07 52.07 61.2
1.819701e+07 51.88 60.7
1.862087e+07 51.70 60.0
1.905461e+07 51.52 59.3
1.949845e+07 51.35 58.7
1.995262e+07 51.19 58.0
2.041738e+07 51.02 57.3
2.089296e+07 50.85 56.6
2.137962e+07 50.67 55.8
2.187762e+07 50.50 55.1
2.238721e+07 50.35 54.4
2.290868e+07 50.19 53.6
2.344229e+07 50.01 52.7
2.398833e+07 49.86 51.9
2.454709e+07 49.70 51.1
2.511886e+07 49.53 50.3
2.570396e+07 49.39 49.4
2.630268e+07 49.23 48.5
2.691535e+07 49.07 47.7
2.754229e+07 48.92 46.7
2.818383e+07 48.78 45.8
2.884032e+07 48.63 45.0
2.951209e+07 48.48 44.0
3.019952e+07 48.33 43.1
3.090295e+07 48.19 42.1
3.162278e+07 48.05 41.0
3.235937e+07 47.90 40.1
3.311311e+07 47.78 39.0
3.388442e+07 47.64 38.0
3.467369e+07 47.51 37.0
3.548134e+07 47.37 35.8
3.630781e+07 47.25 34.8
3.715352e+07 47.13 33.7
3.801894e+07 47.00 32.5
3.890451e+07 46.88 31.4
3.981072e+07 46.76 30.2
4.073803e+07 46.65 29.0
4.168694e+07 46.53 27.9
4.265795e+07 46.42 26.6
4.365158e+07 46.32 25.4
4.466836e+07 46.21 24.1
4.570882e+07 46.11 22.9
4.677351e+07 46.01 21.6
4.786301e+07 45.92 20.3
4.897788e+07 45.82 18.9
5.011872e+07 45.72 17.6
5.128614e+07 45.64 16.3
5.248075e+07 45.55 14.9
5.370318e+07 45.46 13.5
5.495409e+07 45.39 12.1
5.623413e+07 45.31 10.6
5.754399e+07 45.24 9.2
5.888437e+07 45.16 7.7
6.025596e+07 45.09 6.2
6.165950e+07 45.03 4.7
6.309573e+07 44.97 3.2
6.456542e+07 44.91 1.6
6.606934e+07 44.86 -0.1
6.760830e+07 44.81 -1.6
6.918310e+07 44.75 -3.3
7.079458e+07 44.71 -5.0
7.244360e+07 44.66 -6.7
7.413102e+07 44.63 -8.3
7.585776e+07 44.59 -10.1
7.762471e+07 44.56 -11.9
7.943282e+07 44.53 -13.7
8.128305e+07 44.51 -15.5
8.317638e+07 44.48 -17.4
8.511380e+07 44.46 -19.4
8.709636e+07 44.44 -21.3
8.912509e+07 44.42 -23.3
9.120108e+07 44.42 -25.3
9.332543e+07 44.41 -27.4
9.549926e+07 44.42 -29.5
9.772372e+07 44.41 -31.7
1.000000e+08 44.41 -34.0
1.023293e+08 44.42 -36.2
1.047129e+08 44.42 -38.6
1.071519e+08 44.43 -41.0
1.096478e+08 44.45 -43.5
1.122018e+08 44.46 -46.1
1.148154e+08 44.48 -48.7
1.174898e+08 44.50 -51.4
1.202264e+08 44.52 -54.2
1.230269e+08 44.55 -57.1
1.258925e+08 44.58 -60.2
1.288250e+08 44.61 -63.2
1.318257e+08 44.64 -66.6
1.348963e+08 44.66 -69.9
1.380384e+08 44.69 -73.4
1.412538e+08 44.71 -77.1
1.445440e+08 44.74 -80.9
1.479108e+08 44.75 -84.9
1.513561e+08 44.76 -89.1
1.548817e+08 44.76 -93.4
1.584893e+08 44.75 -98.0
1.621810e+08 44.73 -102.8
1.659587e+08 44.68 -107.8
1.698244e+08 44.63 -113.0
1.737801e+08 44.54 -118.5
1.778279e+08 44.43 -124.2
1.819701e+08 44.28 -130.1
1.862087e+08 44.11 -136.2
1.905461e+08 43.88 -142.7
1.949845e+08 43.62 -149.2
1.995262e+08 43.31 -156.0
2.041738e+08 42.95 -163.1
2.089296e+08 42.54 -170.2
2.137962e+08 42.08 -177.4
2.187762e+08 41.58 175.1
2.238721e+08 41.02 167.6
2.290868e+08 40.42 159.8
2.344229e+08 39.78 151.9
2.398833e+08 39.10 143.8
2.454709e+08 38.40 135.4
2.511886e+08 37.66 126.7
2.570396e+08 36.92 117.6
2.630268e+08 36.17 108.2
2.691535e+08 35.44 98.2
2.754229e+08 34.75 87.6
2.818383e+08 34.11 76.4
2.884032e+08 33.57 64.6
2.951209e+08 33.15 52.3
3.019952e+08 32.87 39.7
3.090295e+08 32.75 26.9
3.162278e+08 32.78 14.2
3.235937e+08 32.96 1.8
3.311311e+08 33.26 -10.1
3.388442e+08 33.64 -21.6
3.467369e+08 34.08 -32.6
3.548134e+08 34.57 -43.3
3.630781e+08 35.07 -53.6
3.715352e+08 35.58 -63.8
3.801894e+08 36.08 -73.9
3.890451e+08 36.56 -84.0
3.981072e+08 37.02 -94.3
4.073803e+08 37.44 -104.8
4.168694e+08 37.81 -115.7
4.265795e+08 38.11 -127.0
4.365158e+08 38.32 -138.7
4.466836e+08 38.43 -150.9
4.570882e+08 38.42 -163.6
4.677351e+08 38.27 -176.7
4.786301e+08 37.97 169.9
4.897788e+08 37.51 156.1
5.011872e+08 36.90 142.0
5.128614e+08 36.15 127.6
5.248075e+08 35.27 112.7
5.370318e+08 34.29 97.1
5.495409e+08 33.23 80.2
5.623413e+08 32.18 61.7
5.754399e+08 31.24 40.9
5.888437e+08 30.60 17.7
6.025596e+08 30.46 -7.3
6.165950e+08 30.93 -32.5
6.309573e+08 31.89 -56.4
6.456542e+08 33.13 -78.5
6.606934e+08 34.47 -99.1
6.760830e+08 35.77 -118.9
6.918310e+08 36.96 -138.6
7.079458e+08 37.94 -158.7
7.244360e+08 38.64 -179.2
7.413102e+08 39.00 159.9
7.585776e+08 39.01 138.9
7.762471e+08 38.68 118.1
7.943282e+08 38.05 97.5
8.128305e+08 37.22 76.7
8.317638e+08 36.22 55.0
8.511380e+08 35.16 30.8
8.709636e+08 34.28 2.3
8.912509e+08 34.07 -31.7
9.120108e+08 35.17 -69.2
9.332543e+08 37.57 -105.4
9.549926e+08 40.61 -139.3
9.772372e+08 43.64 -173.3
1.000000e+09 46.05 150.7
