# SHIELDEVAL RAW v3
# SAMPLE=S05_thin_strands
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 78.65 0.1
1.023293e+05 78.65 0.6
1.047129e+05 78.85 0.9
1.071519e+05 78.74 -2.2
1.096478e+05 78.74 1.5
1.122018e+05 78.74 -1.6
1.148154e+05 78.38 -2.1
1.174898e+05 78.80 0.7
1.202264e+05 78.80 0.4
1.230269e+05 78.83 -0.7
1.258925e+05 78.58 0.4
1.288250e+05 78.83 0.1
1.318257e+05 78.77 -0.3
1.348963e+05 78.61 -1.9
1.380384e+05 78.63 -1.1
1.412538e+05 78.93 -0.7
1.445440e+05 78.46 0.6
1.479108e+05 78.72 1.0
1.513561e+05 78.61 -0.9
1.548817e+05 78.71 -1.5
1.584893e+05 78.48 -1.6
1.621810e+05 78.83 0.2
1.659587e+05 78.88 -1.6
1.698244e+05 78.70 1.5
1.737801e+05 78.55 -0.7
1.778279e+05 78.78 -0.7
1.819701e+05 78.63 -0.2
1.862087e+05 78.52 -0.9
1.905461e+05 79.02 -2.0
1.949845e+05 78.56 -0.9
1.995262e+05 78.60 -0.5
2.041738e+05 78.87 -1.6
2.089296e+05 78.80 -1.3
2.137962e+05 78.88 -1.1
2.187762e+05 78.65 -3.1
2.238721e+05 78.91 -2.0
2.290868e+05 78.70 -1.3
2.344229e+05 78.57 -2.4
2.398833e+05 79.12 -0.7
2.454709e+05 78.75 -0.6
2.511886e+05 78.82 -3.8
2.570396e+05 78.91 -2.0
2.630268e+05 78.76 -0.8
2.691535e+05 78.86 -1.7
2.754229e+05 79.11 -0.9
2.818383e+05 78.95 -0.8
2.884032e+05 78.85 -3.2
2.951209e+05 78.99 -1.2
3.019952e+05 79.09 -2.6
3.090295e+05 78.44 -4.0
3.162278e+05 78.64 -1.0
3.235937e+05 78.66 -2.5
3.311311e+05 78.88 -1.8
3.388442e+05 79.27 -1.0
3.467369e+05 78.97 -0.6
3.548134e+05 78.83 -2.1
3.630781e+05 79.00 -2.9
3.715352e+05 79.04 -2.6
3.801894e+05 78.89 -0.7
3.890451e+05 78.60 -2.3
3.981072e+05 78.92 0.0
4.073803e+05 78.96 -0.3
4.168694e+05 79.11 -2.9
4.265795e+05 78.74 -0.0
4.365158e+05 78.94 -2.8
4.466836e+05 79.02 -2.3
4.570882e+05 79.08 -2.3
4.677351e+05 79.13 -3.5
4.786301e+05 79.01 -2.2
4.897788e+05 78.72 -1.6
5.011872e+05 79.08 0.2
5.128614e+05 79.01 -0.9
5.248075e+05 79.24 -3.2
5.370318e+05 79.08 -2.2
5.495409e+05 79.41 -1.3
5.623413e+05 78.92 -2.7
5.754399e+05 79.28 -3.7
5.888437e+05 79.12 -2.9
6.025596e+05 79.20 -4.1
6.165950e+05 79.01 -2.7
6.309573e+05 79.17 -3.5
6.456542e+05 79.21 -1.5
6.606934e+05 79.63 -3.4
6.760830e+05 79.56 -4.6
6.918310e+05 79.62 -2.3
7.079458e+05 79.63 -3.5
7.244360e+05 79.64 -4.3
7.413102e+05 79.37 -2.8
7.585776e+05 79.57 -4.2
7.762471e+05 79.58 -5.4
7.943282e+05 79.81 -4.9
8.128305e+05 79.89 -2.0
8.317638e+05 80.02 -1.6
8.511380e+05 79.59 -3.8
8.709636e+05 79.83 -2.9
8.912509e+05 79.73 -5.5
9.120108e+05 79.92 -2.3
9.332543e+05 80.19 -3.7
9.549926e+05 80.09 -2.6
9.772372e+05 80.56 -3.9
1.000000e+06 80.06 -3.3
1.023293e+06 80.24 -5.4
1.047129e+06 80.30 -2.6
1.071519e+06 80.39 -3.8
1.096478e+06 80.37 -2.6
1.122018e+06 80.64 -0.7
1.148154e+06 80.62 -6.2
1.174898e+06 80.91 -1.2
1.202264e+06 80.91 -2.0
1.230269e+06 80.88 -1.9
1.258925e+06 80.86 -0.8
1.288250e+06 81.24 -2.6
1.318257e+06 81.57 -4.6
1.348963e+06 81.82 -2.4
1.380384e+06 81.57 -1.6
1.412538e+06 81.79 -4.4
1.445440e+06 81.64 0.6
1.479108e+06 81.53 1.0
1.513561e+06 82.25 -1.2
1.548817e+06 81.88 1.3
1.584893e+06 82.06 2.0
1.621810e+06 82.78 2.8
1.659587e+06 82.81 3.5
1.698244e+06 82.64 6.1
1.737801e+06 83.26 5.9
1.778279e+06 83.42 10.5
1.819701e+06 83.17 7.9
1.862087e+06 83.69 11.7
1.905461e+06 83.88 13.5
1.949845e+06 83.84 8.8
1.995262e+06 84.08 14.3
2.041738e+06 84.20 16.6
2.089296e+06 83.98 18.2
2.137962e+06 84.18 20.2
2.187762e+06 85.13 26.9
2.238721e+06 84.48 26.3
2.290868e+06 85.03 27.7
2.344229e+06 84.74 33.2
2.398833e+06 84.90 33.0
2.454709e+06 84.53 36.0
2.511886e+06 84.97 38.9
2.570396e+06 85.33 42.4
2.630268e+06 85.03 45.4
2.691535e+06 84.58 56.0
2.754229e+06 84.17 54.7
2.818383e+06 84.36 56.7
2.884032e+06 83.90 63.8
2.951209e+06 84.06 65.6
3.019952e+06 83.63 68.4
3.090295e+06 83.44 69.4
3.162278e+06 82.56 70.3
3.235937e+06 81.98 74.1
3.311311e+06 81.17 77.4
3.388442e+06 81.36 77.6
3.467369e+06 80.74 77.2
3.548134e+06 80.36 80.7
3.630781e+06 79.85 82.7
3.715352e+06 79.65 79.8
3.801894e+06 79.38 84.4
3.890451e+06 78.60 84.0
3.981072e+06 78.54 84.1
4.073803e+06 77.86 85.7
4.168694e+06 77.62 86.5
4.265795e+06 77.14 85.6
4.365158e+06 76.71 87.0
4.466836e+06 76.62 86.8
4.570882e+06 75.76 87.7
4.677351e+06 75.82 86.4
4.786301e+06 75.44 88.5
4.897788e+06 74.90 88.8
5.011872e+06 74.96 88.4
5.128614e+06 74.37 87.9
5.248075e+06 73.93 88.0
5.370318e+06 73.66 87.6
5.495409e+06 73.32 87.9
5.623413e+06 73.02 87.0
5.754399e+06 72.72 87.9
5.888437e+06 72.42 87.5
6.025596e+06 71.94 86.8
6.165950e+06 71.76 86.7
6.309573e+06 71.60 86.3
6.456542e+06 71.26 85.9
6.606934e+06 70.90 85.6
6.760830e+06 70.59 84.8
6.918310e+06 70.50 84.2
7.079458e+06 70.15 83.6
7.244360e+06 70.04 83.5
7.413102e+06 69.68 83.5
7.585776e+06 69.29 83.3
7.762471e+06 69.10 82.8
7.943282e+06 68.92 82.4
8.128305e+06 68.70 81.2
8.317638e+06 68.40 80.4
8.511380e+06 68.17 80.5
8.709636e+06 67.93 79.9
8.912509e+06 67.70 80.1
9.120108e+06 67.48 78.9
9.332543e+06 67.35 78.5
9.549926e+06 67.08 77.8
9.772372e+06 66.85 77.5
1.000000e+07 66.67 76.9
1.023293e+07 66.35 76.5
1.047129e+07 66.24 75.8
1.071519e+07 65.94 74.7
1.096478e+07 65.76 74.4
1.122018e+07 65.58 74.3
1.148154e+07 65.37 73.5
1.174898e+07 65.20 72.8
1.202264e+07 64.95 71.8
1.230269e+07 64.77 72.1
1.258925e+07 64.61 70.9
1.288250e+07 64.34 70.4
1.318257e+07 64.20 69.4
1.348963e+07 63.97 69.0
1.380384e+07 63.83 68.7
1.412538e+07 63.61 68.4
1.445440e+07 63.42 67.7
1.479108e+07 63.24 67.0
1.513561e+07 63.04 66.3
1.548817e+07 62.93 65.6
1.584893e+07 62.83 64.8
1.621810e+07 62.59 64.0
1.659587e+07 62.41 63.4
