# SHIELDEVAL RAW v3
# SAMPLE=S06_double_braid
# FIXTURE=TUBE500
# LC=0.5
# DATE=2021-04-12
# CAL=cal_20210412.cal
# COLUMNS=f[Hz] a[dB] phase[deg]
1.000000e+05 94.53 -3.6
1.023293e+05 93.27 3.7
1.047129e+05 92.37 -14.7
1.071519e+05 94.56 0.7
1.096478e+05 94.70 -6.9
1.122018e+05 93.47 -4.2
1.148154e+05 94.42 -6.2
1.174898e+05 93.55 -12.1
1.202264e+05 92.83 -12.4
1.230269e+05 93.99 3.7
1.258925e+05 93.11 -17.5
1.288250e+05 97.14 -15.2
1.318257e+05 93.58 -1.7
1.348963e+05 94.56 -13.3
1.380384e+05 95.59 -8.6
1.412538e+05 94.60 -12.8
1.445440e+05 95.43 -21.0
1.479108e+05 95.85 -11.6
1.513561e+05 96.75 -18.3
1.548817e+05 94.92 -19.7
1.584893e+05 96.15 -12.1
1.621810e+05 95.19 -19.0
1.659587e+05 93.76 -12.7
1.698244e+05 94.28 -19.0
1.737801e+05 96.28 -7.6
1.778279e+05 94.27 -10.0
1.819701e+05 93.64 -13.6
1.862087e+05 94.45 -18.5
1.905461e+05 94.44 -19.4
1.949845e+05 94.59 -19.9
1.995262e+05 95.18 -27.6
2.041738e+05 93.90 -8.3
2.089296e+05 93.83 -23.9
2.137962e+05 94.97 -14.6
2.187762e+05 94.95 -15.1
2.238721e+05 94.67 -23.4
2.290868e+05 93.24 -19.3
2.344229e+05 94.31 -31.3
2.398833e+05 96.33 -30.3
2.454709e+05 94.29 -26.9
2.511886e+05 94.15 -16.6
2.570396e+05 93.81 -26.8
2.630268e+05 94.79 -30.4
2.691535e+05 96.84 -27.2
2.754229e+05 92.31 -29.9
2.818383e+05 95.32 -35.3
2.884032e+05 95.18 -20.0
2.951209e+05 94.89 -30.2
3.019952e+05 95.95 -26.2
3.090295e+05 93.39 -46.8
3.162278e+05 95.47 -39.7
3.235937e+05 95.66 -36.6
3.311311e+05 94.47 -42.4
3.388442e+05 95.59 -28.2
3.467369e+05 92.34 -33.1
3.548134e+05 95.48 -42.8
3.630781e+05 94.22 -29.6
3.715352e+05 95.07 -35.6
3.801894e+05 95.26 -40.7
3.890451e+05 95.55 -50.7
3.981072e+05 95.32 -38.6
4.073803e+05 95.41 -49.7
4.168694e+05 95.92 -30.9
4.265795e+05 94.77 -41.6
4.365158e+05 95.39 -54.4
4.466836e+05 95.06 -32.1
4.570882e+05 96.93 -34.2
4.677351e+05 95.72 -42.9
4.786301e+05 94.82 -47.3
4.897788e+05 94.45 -56.1
5.011872e+05 94.27 -45.7
5.128614e+05 94.87 -36.2
5.248075e+05 95.99 -45.8
5.370318e+05 93.59 -53.3
5.495409e+05 94.43 -40.7
5.623413e+05 93.87 -55.7
5.754399e+05 96.60 -52.2
5.888437e+05 96.34 -38.3
6.025596e+05 95.59 -56.2
6.165950e+05 97.26 -53.4
6.309573e+05 96.26 -71.0
6.456542e+05 95.84 -59.3
6.606934e+05 97.75 -64.2
6.760830e+05 97.21 -55.8
6.918310e+05 96.70 -82.0
7.079458e+05 98.93 -70.7
7.244360e+05 95.67 -55.4
7.413102e+05 92.94 -64.8
7.585776e+05 97.27 -63.5
7.762471e+05 97.54 -65.5
7.943282e+05 94.02 -92.2
8.128305e+05 96.69 -69.5
8.317638e+05 98.62 -79.5
8.511380e+05 97.85 -97.4
8.709636e+05 96.63 -87.8
8.912509e+05 96.49 -89.8
